python -m bbcprc.report_durations
Total number of files 16014
Error count 0
Successful files 16014
Total length 20 days, 0:58:00.803605 76358303439
Average length 0:01:48.122943 4768221.770887973
Min length 0:00:01.573333 69384
Max length 0:26:49.400000 70974540
Average rms 3029.782418405867
Min rms 63.48201883802484
Max rms 22215.433447020263

00000 07042079.wav 0:00:01.573333 69384
00001 07043104.wav 0:00:01.753333 77322
00002 07042067.wav 0:00:01.873333 82614
00003 07043289.wav 0:00:02.040000 89964
00004 07050211.wav 0:00:02.156871 95118
00005 07042294.wav 0:00:02.273333 100254
00006 07043105.wav 0:00:02.513333 110838
00007 07043154.wav 0:00:02.526667 111426
00008 07043155.wav 0:00:02.540000 112014
00009 07043292.wav 0:00:02.566667 113190
00010 07044082.wav 0:00:02.626667 115836
00011 07043302.wav 0:00:02.646667 116718
00012 07044084.wav 0:00:02.680000 118188
00013 07043296.wav 0:00:02.700000 119070
00014 07043274.wav 0:00:02.713333 119658
00015 07043294.wav 0:00:02.740000 120834
00016 07043271.wav 0:00:02.773333 122304
00017 07043052.wav 0:00:02.780000 122598
00018 07043286.wav 0:00:02.786667 122892
00019 07042161.wav 0:00:02.793333 123186
00020 07043305.wav 0:00:02.813333 124068
00021 07042052.wav 0:00:02.826667 124656
00022 07043279.wav 0:00:02.826667 124656
00023 07044081.wav 0:00:02.846667 125538
00024 07043270.wav 0:00:02.853333 125832
00025 07043272.wav 0:00:02.880000 127008
00026 07043161.wav 0:00:02.886667 127302
00027 07043273.wav 0:00:02.900000 127890
00028 07042083.wav 0:00:02.906667 128184
00029 07044083.wav 0:00:02.953333 130242
00030 07052022.wav 0:00:02.978889 131369
00031 07042293.wav 0:00:03.053333 134652
00032 07042159.wav 0:00:03.073333 135534
00033 07043275.wav 0:00:03.086667 136122
00034 07043165.wav 0:00:03.126667 137886
00035 07042053.wav 0:00:03.166667 139650
00036 07042164.wav 0:00:03.180000 140238
00037 07044074.wav 0:00:03.180000 140238
00038 07042155.wav 0:00:03.186667 140532
00039 07043267.wav 0:00:03.186667 140532
00040 07042154.wav 0:00:03.200000 141120
00041 07042162.wav 0:00:03.200000 141120
00042 07005063.wav 0:00:03.238821 142832
00043 07042163.wav 0:00:03.240000 142884
00044 07043365.wav 0:00:03.246667 143178
00045 07043299.wav 0:00:03.273333 144354
00046 07043053.wav 0:00:03.293333 145236
00047 07042157.wav 0:00:03.420000 150822
00048 07042181.wav 0:00:03.440000 151704
00049 07042156.wav 0:00:03.446667 151998
00050 07043277.wav 0:00:03.526667 155526
00051 07043097.wav 0:00:03.540000 156114
00052 07043164.wav 0:00:03.593333 158466
00053 07043266.wav 0:00:03.626667 159936
00054 07043158.wav 0:00:03.666667 161700
00055 07043163.wav 0:00:03.693333 162876
00056 07043265.wav 0:00:03.700000 163170
00057 07043051.wav 0:00:03.766667 166110
00058 07018028.wav 0:00:03.939184 173718
00059 07004268.wav 0:00:03.942449 173862
00060 07043257.wav 0:00:03.946667 174048
00061 07037539.wav 0:00:03.956599 174486
00062 07042051.wav 0:00:03.966667 174930
00063 07001156.wav 0:00:04 176400
00064 07001157.wav 0:00:04 176400
